,id,slug,status,hasVideo,preview,variantSetId,variants,isLiked,priceAmount,currencyName,nationalShippingCost,discountPercentage,discountedPriceAmount,internationalShippingCost
10,287092439,101stt-carhartt-chase-crewneck-sweatshirt-grey,ONSALE,False,"{'150': 'https://media-photos.depop.com/b0/32717491/1191640851_1149f946cb0244b4b2bfb7330d3c27c3/P2.jpg', '210': 'https://media-photos.depop.com/b0/32717491/1191640851_1149f946cb0244b4b2bfb7330d3c27c3/P4.jpg', '320': 'https://media-photos.depop.com/b0/32717491/1191640851_1149f946cb0244b4b2bfb7330d3c27c3/P5.jpg', '480': 'https://media-photos.depop.com/b0/32717491/1191640851_1149f946cb0244b4b2bfb7330d3c27c3/P6.jpg', '640': 'https://media-photos.depop.com/b0/32717491/1191640851_1149f946cb0244b4b2bfb7330d3c27c3/P1.jpg', '960': 'https://media-photos.depop.com/b0/32717491/1191640851_1149f946cb0244b4b2bfb7330d3c27c3/P7.jpg', '1280': 'https://media-photos.depop.com/b0/32717491/1191640851_1149f946cb0244b4b2bfb7330d3c27c3/P8.jpg'}",52.0,{'3': 1},False,24.00,GBP,3.00,,,
11,273251534,thewonderfulflight-carhartt-wip-chase-sweatshirt-tagged,ONSALE,False,"{'150': 'https://media-photos.depop.com/b0/23018932/1140359944_6f11be117ca641af866c2910398257f4/P2.jpg', '210': 'https://media-photos.depop.com/b0/23018932/1140359944_6f11be117ca641af866c2910398257f4/P4.jpg', '320': 'https://media-photos.depop.com/b0/23018932/1140359944_6f11be117ca641af866c2910398257f4/P5.jpg', '480': 'https://media-photos.depop.com/b0/23018932/1140359944_6f11be117ca641af866c2910398257f4/P6.jpg', '640': 'https://media-photos.depop.com/b0/23018932/1140359944_6f11be117ca641af866c2910398257f4/P1.jpg', '960': 'https://media-photos.depop.com/b0/23018932/1140359944_6f11be117ca641af866c2910398257f4/P7.jpg', '1280': 'https://media-photos.depop.com/b0/23018932/1140359944_6f11be117ca641af866c2910398257f4/P8.jpg'}",52.0,{'5': 1},False,35.00,GBP,0.00,20.0,28.00,18.00
12,284832147,harrymockett-carhartt-hooded-chase-sweatshirt-size,ONSALE,False,"{'150': 'https://media-photos.depop.com/b0/3839158/1183259782_f1404fc3446349ae8e8730dd5129e82e/P2.jpg', '210': 'https://media-photos.depop.com/b0/3839158/1183259782_f1404fc3446349ae8e8730dd5129e82e/P4.jpg', '320': 'https://media-photos.depop.com/b0/3839158/1183259782_f1404fc3446349ae8e8730dd5129e82e/P5.jpg', '480': 'https://media-photos.depop.com/b0/3839158/1183259782_f1404fc3446349ae8e8730dd5129e82e/P6.jpg', '640': 'https://media-photos.depop.com/b0/3839158/1183259782_f1404fc3446349ae8e8730dd5129e82e/P1.jpg', '960': 'https://media-photos.depop.com/b0/3839158/1183259782_f1404fc3446349ae8e8730dd5129e82e/P7.jpg', '1280': 'https://media-photos.depop.com/b0/3839158/1183259782_f1404fc3446349ae8e8730dd5129e82e/P8.jpg'}",52.0,{'7': 1},False,79.00,GBP,3.00,15.0,67.15,
13,290941444,freyanorwood-carhartt-chase-crew-neck-size,ONSALE,False,"{'150': 'https://media-photos.depop.com/b0/2478132/1205934432_04bf5d66d2c44381b95bd77459e61faf/P2.jpg', '210': 'https://media-photos.depop.com/b0/2478132/1205934432_04bf5d66d2c44381b95bd77459e61faf/P4.jpg', '320': 'https://media-photos.depop.com/b0/2478132/1205934432_04bf5d66d2c44381b95bd77459e61faf/P5.jpg', '480': 'https://media-photos.depop.com/b0/2478132/1205934432_04bf5d66d2c44381b95bd77459e61faf/P6.jpg', '640': 'https://media-photos.depop.com/b0/2478132/1205934432_04bf5d66d2c44381b95bd77459e61faf/P1.jpg', '960': 'https://media-photos.depop.com/b0/2478132/1205934432_04bf5d66d2c44381b95bd77459e61faf/P7.jpg', '1280': 'https://media-photos.depop.com/b0/2478132/1205934432_04bf5d66d2c44381b95bd77459e61faf/P8.jpg'}",52.0,{'3': 1},False,25.00,GBP,0.00,,,
14,291344041,thedealfinder-carhartt-wip-chase-sweatshirt-pullover-874b,ONSALE,False,"{'150': 'https://media-photos.depop.com/b0/17600206/1207429121_866f8f09bd8f4c3e822a1a5746c4711d/P2.jpg', '210': 'https://media-photos.depop.com/b0/17600206/1207429121_866f8f09bd8f4c3e822a1a5746c4711d/P4.jpg', '320': 'https://media-photos.depop.com/b0/17600206/1207429121_866f8f09bd8f4c3e822a1a5746c4711d/P5.jpg', '480': 'https://media-photos.depop.com/b0/17600206/1207429121_866f8f09bd8f4c3e822a1a5746c4711d/P6.jpg', '640': 'https://media-photos.depop.com/b0/17600206/1207429121_866f8f09bd8f4c3e822a1a5746c4711d/P1.jpg', '960': 'https://media-photos.depop.com/b0/17600206/1207429121_866f8f09bd8f4c3e822a1a5746c4711d/P7.jpg', '1280': 'https://media-photos.depop.com/b0/17600206/1207429121_866f8f09bd8f4c3e822a1a5746c4711d/P8.jpg'}",52.0,{'4': 2},False,45.99,GBP,3.25,,,
15,291343674,thedealfinder-carhartt-chase-logo-crew-socks-d9f2,ONSALE,False,"{'150': 'https://media-photos.depop.com/b0/17600206/1207427715_46b6d10b1f6d43a59ba4224c2f061402/P2.jpg', '210': 'https://media-photos.depop.com/b0/17600206/1207427715_46b6d10b1f6d43a59ba4224c2f061402/P4.jpg', '320': 'https://media-photos.depop.com/b0/17600206/1207427715_46b6d10b1f6d43a59ba4224c2f061402/P5.jpg', '480': 'https://media-photos.depop.com/b0/17600206/1207427715_46b6d10b1f6d43a59ba4224c2f061402/P6.jpg', '640': 'https://media-photos.depop.com/b0/17600206/1207427715_46b6d10b1f6d43a59ba4224c2f061402/P1.jpg', '960': 'https://media-photos.depop.com/b0/17600206/1207427715_46b6d10b1f6d43a59ba4224c2f061402/P7.jpg', '1280': 'https://media-photos.depop.com/b0/17600206/1207427715_46b6d10b1f6d43a59ba4224c2f061402/P8.jpg'}",,,False,14.85,GBP,3.25,,,
16,291343635,thedealfinder-carhartt-chase-logo-crew-socks-66cb,ONSALE,False,"{'150': 'https://media-photos.depop.com/b0/17600206/1207427603_98329f5045e546b3a738879ee49b3a11/P2.jpg', '210': 'https://media-photos.depop.com/b0/17600206/1207427603_98329f5045e546b3a738879ee49b3a11/P4.jpg', '320': 'https://media-photos.depop.com/b0/17600206/1207427603_98329f5045e546b3a738879ee49b3a11/P5.jpg', '480': 'https://media-photos.depop.com/b0/17600206/1207427603_98329f5045e546b3a738879ee49b3a11/P6.jpg', '640': 'https://media-photos.depop.com/b0/17600206/1207427603_98329f5045e546b3a738879ee49b3a11/P1.jpg', '960': 'https://media-photos.depop.com/b0/17600206/1207427603_98329f5045e546b3a738879ee49b3a11/P7.jpg', '1280': 'https://media-photos.depop.com/b0/17600206/1207427603_98329f5045e546b3a738879ee49b3a11/P8.jpg'}",,,False,14.85,GBP,3.25,,,
17,291343573,thedealfinder-carhartt-chase-logo-crew-socks-ac23,ONSALE,False,"{'150': 'https://media-photos.depop.com/b0/17600206/1207427315_292900f7e1104b01807c09057afd3c52/P2.jpg', '210': 'https://media-photos.depop.com/b0/17600206/1207427315_292900f7e1104b01807c09057afd3c52/P4.jpg', '320': 'https://media-photos.depop.com/b0/17600206/1207427315_292900f7e1104b01807c09057afd3c52/P5.jpg', '480': 'https://media-photos.depop.com/b0/17600206/1207427315_292900f7e1104b01807c09057afd3c52/P6.jpg', '640': 'https://media-photos.depop.com/b0/17600206/1207427315_292900f7e1104b01807c09057afd3c52/P1.jpg', '960': 'https://media-photos.depop.com/b0/17600206/1207427315_292900f7e1104b01807c09057afd3c52/P7.jpg', '1280': 'https://media-photos.depop.com/b0/17600206/1207427315_292900f7e1104b01807c09057afd3c52/P8.jpg'}",,,False,14.85,GBP,3.25,,,
18,291343537,thedealfinder-carhartt-chase-logo-crew-socks-4a84,ONSALE,False,"{'150': 'https://media-photos.depop.com/b0/17600206/1207427173_03f582dfcabb406cad5edbaf1844a44e/P2.jpg', '210': 'https://media-photos.depop.com/b0/17600206/1207427173_03f582dfcabb406cad5edbaf1844a44e/P4.jpg', '320': 'https://media-photos.depop.com/b0/17600206/1207427173_03f582dfcabb406cad5edbaf1844a44e/P5.jpg', '480': 'https://media-photos.depop.com/b0/17600206/1207427173_03f582dfcabb406cad5edbaf1844a44e/P6.jpg', '640': 'https://media-photos.depop.com/b0/17600206/1207427173_03f582dfcabb406cad5edbaf1844a44e/P1.jpg', '960': 'https://media-photos.depop.com/b0/17600206/1207427173_03f582dfcabb406cad5edbaf1844a44e/P7.jpg', '1280': 'https://media-photos.depop.com/b0/17600206/1207427173_03f582dfcabb406cad5edbaf1844a44e/P8.jpg'}",,,False,14.85,GBP,3.25,,,
19,291343492,thedealfinder-carhartt-chase-logo-crew-socks,ONSALE,False,"{'150': 'https://media-photos.depop.com/b0/17600206/1207427044_3d7f611c81934f919fe127d3945889c3/P2.jpg', '210': 'https://media-photos.depop.com/b0/17600206/1207427044_3d7f611c81934f919fe127d3945889c3/P4.jpg', '320': 'https://media-photos.depop.com/b0/17600206/1207427044_3d7f611c81934f919fe127d3945889c3/P5.jpg', '480': 'https://media-photos.depop.com/b0/17600206/1207427044_3d7f611c81934f919fe127d3945889c3/P6.jpg', '640': 'https://media-photos.depop.com/b0/17600206/1207427044_3d7f611c81934f919fe127d3945889c3/P1.jpg', '960': 'https://media-photos.depop.com/b0/17600206/1207427044_3d7f611c81934f919fe127d3945889c3/P7.jpg', '1280': 'https://media-photos.depop.com/b0/17600206/1207427044_3d7f611c81934f919fe127d3945889c3/P8.jpg'}",,,False,14.85,GBP,3.25,,,
